Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.026721	-0.438937	-0.218443	-0.251966	-0.000555
-0.029770	-0.405935	-0.246477	-0.318499	-0.000553
-0.031518	-0.554868	-0.297289	-0.336727	-0.000577
-0.026508	-0.439784	-0.260494	-0.252877	-0.000482
-0.032818	-0.578562	-0.285024	-0.494403	-0.000628
-0.034588	-0.511712	-0.362993	-0.417844	-0.000570
-0.029876	-0.582793	-0.367373	-0.529037	-0.000576
-0.033032	-0.609872	-0.354233	-0.463414	-0.000590
-0.034801	-0.556561	-0.376134	-0.399615	-0.000483
-0.029919	-0.647951	-0.395407	-0.471617	-0.000582
-0.031411	-0.598871	-0.327951	-0.437895	-0.000480
-0.032392	-0.444861	-0.263122	-0.240117	-0.000631
-0.028214	-0.467709	-0.228956	-0.331259	-0.000487
-0.033948	-0.614103	-0.416433	-0.602861	-0.000499
-0.038489	-0.527790	-0.334083	-0.424224	-0.000491
-0.031113	-0.484633	-0.322694	-0.331259	-0.000471
-0.030090	-0.525251	-0.313934	-0.391412	-0.000444
-0.042177	-0.526097	-0.256114	-0.399615	-0.000481
-0.031198	-0.561638	-0.310429	-0.491668	-0.000516
-0.029194	-0.588717	-0.344596	-0.449743	-0.000502
-0.033053	-0.485479	-0.318314	-0.401438	-0.000552
-0.029301	-0.479556	-0.213187	-0.381387	-0.000463
-0.026124	-0.497326	-0.316562	-0.265637	-0.000535
-0.031646	-0.548099	-0.337587	-0.386855	-0.000542
-0.028256	-0.578562	-0.309553	-0.395970	-0.000571
-0.024909	-0.458400	-0.272759	-0.275662	-0.000474
-0.034780	-0.505788	-0.221947	-0.445186	-0.000525
-0.030154	-0.486325	-0.280643	-0.299359	-0.000565
-0.025229	-0.575177	-0.447971	-0.539974	-0.000438
-0.037551	-0.546406	-0.379638	-0.512631	-0.000495
-0.031625	-0.603949	-0.395407	-0.512631	-0.000512
-0.021626	-0.480402	-0.329703	-0.386855	-0.000483
-0.033330	-0.428783	-0.197417	-0.309385	-0.000517
